,air_terminal#n#1,apartment#n#1,arch#n#1,auditorium#n#1,barn#n#1,beach#n#1,bedroom#n#1,palace#n#1,classroom#n#1,conference_room#n#1,dam#n#1,desert#n#1,football_stadium#n#1,pyramid#n#3,hotel_room#n#1,kitchen#n#1,library#n#1,mountain#n#1,office#n#1,telephone_booth#n#1,reception#n#1,restaurant#n#1,river#n#1,school#n#1,shower#n#1,skyscraper#n#1,supermarket#n#1,lounge#n#2,water_tower#n#1,windmill#n#1
0,0.0,20.0,6.0,14.0,16.0,12.0,19.0,12.0,21.0,12.0,15.0,20.0,8.0,13.0,19.0,14.0,19.0,19.0,36.0,3.0,6.0,38.0,25.0,18.0,12.0,12.0,8.0,31.0,10.0,6.0
1,20.0,0.0,21.0,23.0,33.0,41.0,84.0,23.0,66.0,32.0,37.0,76.0,14.0,21.0,60.0,43.0,29.0,36.0,68.0,6.0,15.0,82.0,113.0,78.0,45.0,32.0,25.0,46.0,9.0,13.0
2,6.0,21.0,0.0,14.0,9.0,28.0,19.0,12.0,17.0,11.0,14.0,22.0,6.0,11.0,11.0,12.0,12.0,19.0,22.0,2.0,6.0,16.0,31.0,22.0,20.0,9.0,11.0,11.0,4.0,6.0
3,14.0,23.0,14.0,0.0,15.0,39.0,23.0,19.0,31.0,13.0,27.0,34.0,13.0,13.0,17.0,15.0,15.0,30.0,35.0,4.0,6.0,30.0,61.0,26.0,19.0,17.0,19.0,29.0,8.0,6.0
4,16.0,33.0,9.0,15.0,0.0,16.0,39.0,20.0,44.0,21.0,23.0,35.0,14.0,16.0,35.0,28.0,20.0,26.0,34.0,7.0,6.0,43.0,45.0,33.0,37.0,26.0,16.0,27.0,14.0,5.0
5,12.0,41.0,28.0,39.0,16.0,0.0,42.0,30.0,38.0,20.0,49.0,68.0,14.0,15.0,17.0,24.0,19.0,47.0,43.0,5.0,12.0,31.0,112.0,51.0,34.0,15.0,24.0,26.0,14.0,10.0
6,19.0,84.0,19.0,23.0,39.0,42.0,0.0,39.0,200.0,170.0,49.0,71.0,20.0,25.0,150.0,209.0,168.0,41.0,52.0,15.0,10.0,69.0,97.0,67.0,52.0,38.0,24.0,178.0,18.0,22.0
7,12.0,23.0,12.0,19.0,20.0,30.0,39.0,0.0,27.0,18.0,30.0,32.0,16.0,13.0,23.0,17.0,13.0,24.0,23.0,5.0,5.0,31.0,55.0,28.0,26.0,14.0,20.0,18.0,20.0,6.0
8,21.0,66.0,17.0,31.0,44.0,38.0,200.0,27.0,0.0,174.0,30.0,54.0,18.0,19.0,56.0,169.0,169.0,40.0,63.0,11.0,9.0,70.0,76.0,79.0,46.0,34.0,25.0,183.0,13.0,8.0
9,12.0,32.0,11.0,13.0,21.0,20.0,170.0,18.0,174.0,0.0,14.0,26.0,10.0,15.0,29.0,160.0,158.0,23.0,25.0,8.0,7.0,35.0,33.0,24.0,25.0,21.0,13.0,161.0,8.0,8.0
10,15.0,37.0,14.0,27.0,23.0,49.0,49.0,30.0,30.0,14.0,0.0,85.0,18.0,21.0,21.0,19.0,16.0,35.0,33.0,5.0,10.0,47.0,149.0,56.0,35.0,36.0,21.0,17.0,20.0,11.0
11,20.0,76.0,22.0,34.0,35.0,68.0,71.0,32.0,54.0,26.0,85.0,0.0,16.0,25.0,39.0,38.0,21.0,52.0,55.0,8.0,12.0,79.0,478.0,122.0,41.0,37.0,23.0,31.0,13.0,16.0
12,8.0,14.0,6.0,13.0,14.0,14.0,20.0,16.0,18.0,10.0,18.0,16.0,0.0,9.0,14.0,12.0,10.0,16.0,22.0,4.0,5.0,24.0,31.0,16.0,15.0,11.0,14.0,11.0,10.0,5.0
13,13.0,21.0,11.0,13.0,16.0,15.0,25.0,13.0,19.0,15.0,21.0,25.0,9.0,0.0,20.0,12.0,12.0,21.0,18.0,3.0,4.0,28.0,37.0,23.0,20.0,22.0,9.0,16.0,7.0,8.0
14,19.0,60.0,11.0,17.0,35.0,17.0,150.0,23.0,56.0,29.0,21.0,39.0,14.0,20.0,0.0,33.0,29.0,28.0,38.0,9.0,4.0,55.0,54.0,41.0,40.0,29.0,19.0,48.0,15.0,9.0
15,14.0,43.0,12.0,15.0,28.0,24.0,209.0,17.0,169.0,160.0,19.0,38.0,12.0,12.0,33.0,0.0,161.0,22.0,25.0,14.0,6.0,41.0,36.0,26.0,29.0,20.0,13.0,158.0,11.0,9.0
16,19.0,29.0,12.0,15.0,20.0,19.0,168.0,13.0,169.0,158.0,16.0,21.0,10.0,12.0,29.0,161.0,0.0,20.0,39.0,10.0,5.0,35.0,30.0,20.0,26.0,20.0,13.0,160.0,11.0,9.0
17,19.0,36.0,19.0,30.0,26.0,47.0,41.0,24.0,40.0,23.0,35.0,52.0,16.0,21.0,28.0,22.0,20.0,0.0,40.0,5.0,8.0,39.0,100.0,36.0,31.0,29.0,21.0,29.0,12.0,13.0
18,36.0,68.0,22.0,35.0,34.0,43.0,52.0,23.0,63.0,25.0,33.0,55.0,22.0,18.0,38.0,25.0,39.0,40.0,0.0,4.0,22.0,66.0,94.0,68.0,30.0,25.0,29.0,36.0,12.0,17.0
19,3.0,6.0,2.0,4.0,7.0,5.0,15.0,5.0,11.0,8.0,5.0,8.0,4.0,3.0,9.0,14.0,10.0,5.0,4.0,0.0,0.0,8.0,9.0,8.0,13.0,5.0,3.0,9.0,6.0,3.0
20,6.0,15.0,6.0,6.0,6.0,12.0,10.0,5.0,9.0,7.0,10.0,12.0,5.0,4.0,4.0,6.0,5.0,8.0,22.0,0.0,0.0,10.0,18.0,19.0,9.0,4.0,4.0,4.0,1.0,4.0
21,38.0,82.0,16.0,30.0,43.0,31.0,69.0,31.0,70.0,35.0,47.0,79.0,24.0,28.0,55.0,41.0,35.0,39.0,66.0,8.0,10.0,0.0,105.0,90.0,48.0,319.0,30.0,45.0,15.0,12.0
22,25.0,113.0,31.0,61.0,45.0,112.0,97.0,55.0,76.0,33.0,149.0,480.0,31.0,37.0,54.0,36.0,30.0,100.0,94.0,9.0,18.0,105.0,0.0,185.0,67.0,62.0,44.0,42.0,32.0,20.0
23,18.0,78.0,22.0,26.0,33.0,51.0,67.0,28.0,79.0,24.0,56.0,122.0,16.0,23.0,41.0,26.0,20.0,36.0,68.0,8.0,19.0,90.0,185.0,0.0,39.0,36.0,21.0,36.0,9.0,13.0
24,12.0,45.0,20.0,19.0,37.0,34.0,52.0,26.0,46.0,25.0,35.0,41.0,15.0,20.0,40.0,29.0,26.0,31.0,30.0,13.0,9.0,48.0,67.0,39.0,0.0,26.0,20.0,29.0,20.0,11.0
25,12.0,32.0,9.0,17.0,26.0,15.0,38.0,14.0,34.0,21.0,36.0,37.0,11.0,22.0,29.0,20.0,20.0,29.0,25.0,5.0,4.0,319.0,62.0,36.0,26.0,0.0,15.0,24.0,8.0,8.0
26,8.0,25.0,11.0,19.0,16.0,24.0,24.0,20.0,25.0,13.0,21.0,23.0,14.0,9.0,19.0,13.0,13.0,21.0,29.0,3.0,4.0,30.0,44.0,21.0,20.0,15.0,0.0,18.0,10.0,4.0
27,31.0,46.0,11.0,29.0,27.0,26.0,178.0,18.0,183.0,161.0,17.0,31.0,11.0,16.0,48.0,158.0,160.0,29.0,36.0,9.0,4.0,45.0,42.0,36.0,29.0,24.0,18.0,0.0,9.0,6.0
28,10.0,9.0,4.0,8.0,14.0,14.0,18.0,20.0,13.0,8.0,20.0,13.0,10.0,7.0,15.0,11.0,11.0,12.0,12.0,6.0,1.0,15.0,32.0,9.0,20.0,8.0,10.0,9.0,0.0,3.0
29,6.0,13.0,6.0,6.0,5.0,10.0,22.0,6.0,8.0,8.0,11.0,16.0,5.0,8.0,9.0,9.0,9.0,13.0,17.0,3.0,4.0,12.0,20.0,13.0,11.0,8.0,4.0,6.0,3.0,0.0
